TimeGenerated,UserPrincipalName,IPAddress,Location,Status,ResultType,ResultDescription,AppDisplayName,DeviceDetail
2025-06-05T09:03:00,dylan.miller@contoso.com,86.23.123.45,"London, UK",,0,Sign-in succeeded,Power BI,"{""DisplayName"": ""device-lon-21"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Chrome""}"
2025-06-05T09:04:00,patty.perez@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,Microsoft Teams,"{""DisplayName"": ""device-new-4"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Android"", ""Browser"": ""Chrome""}"
2025-06-05T09:07:00,daniel.wagner@contoso.com,86.23.123.45,"London, UK",,0,Sign-in succeeded,Power BI,"{""DisplayName"": ""device-lon-8"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Edge""}"
2025-06-05T09:08:00,zendaya.coleman@contoso.com,66.249.64.1,"New York, USA",Success,0,Login successful,Outlook Web,Windows 10 | zendaya-coleman-device
2025-06-05T09:08:00,margaret.dds@contoso.com,86.23.123.45,"London, UK",,0,Sign-in succeeded,SharePoint Online,"{""DisplayName"": ""device-lon-14"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Edge""}"
2025-06-05T09:09:00,beyonce.knowles@contoso.com,78.137.97.10,"Dublin, IE",,0,Sign-in succeeded,Office 365 Exchange Online,"{""DisplayName"": ""device-dub-21"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Android"", ""Browser"": ""Firefox""}"
2025-06-05T09:13:00,brian.ramirez@contoso.com,78.137.97.10,"Dublin, IE",,0,Sign-in succeeded,Azure Portal,"{""DisplayName"": ""device-dub-1"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Chrome""}"
2025-06-05T09:16:00,cristian.santos@contoso.com,78.137.97.10,"Dublin, IE",,1,Incorrect password,Power BI,"{""DisplayName"": ""device-dub-16"", ""IsCompliant"": false, ""IsManaged"": false, ""OperatingSystem"": ""Linux"", ""Browser"": ""Unknown""}"
2025-06-05T09:19:00,jamie.arnold@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,SharePoint Online,"{""DisplayName"": ""device-new-40"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Android"", ""Browser"": ""Chrome""}"
2025-06-05T09:21:00,brian.ramirez@contoso.com,78.137.97.10,"Dublin, IE",,0,Sign-in succeeded,Outlook Mobile,"{""DisplayName"": ""device-dub-29"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Android"", ""Browser"": ""Chrome""}"
2025-06-05T09:22:00,cristian.santos@contoso.com,78.137.97.10,"Dublin, IE",,0,Sign-in succeeded,Microsoft Teams,"{""DisplayName"": ""device-dub-25"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Android"", ""Browser"": ""Firefox""}"
2025-06-05T09:22:00,lisa.hensley@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,OneDrive,"{""DisplayName"": ""device-new-42"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Edge""}"
2025-06-05T09:25:00,monica.herrera@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,Office 365 Exchange Online,"{""DisplayName"": ""device-new-4"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Edge""}"
2025-06-05T09:28:00,ryan.munoz@contoso.com,86.23.123.45,"London, UK",,1,Incorrect password,Outlook Mobile,"{""DisplayName"": ""device-lon-28"", ""IsCompliant"": false, ""IsManaged"": false, ""OperatingSystem"": ""Windows"", ""Browser"": ""Unknown""}"
2025-06-05T09:30:00,dylan.miller@contoso.com,86.23.123.45,"London, UK",,0,Sign-in succeeded,Outlook Mobile,"{""DisplayName"": ""device-lon-6"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Edge""}"
2025-06-05T09:30:00,abigail.shaffer@contoso.com,66.249.64.1,"New York, USA",Success,0,Login successful,Microsoft Teams,Windows 10 | abigail-shaffer-device
2025-06-05T09:39:00,dylan.miller@contoso.com,86.23.123.45,"London, UK",,0,Sign-in succeeded,Microsoft Teams,"{""DisplayName"": ""device-lon-9"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Chrome""}"
2025-06-05T09:39:00,patty.perez@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,Microsoft Teams,"{""DisplayName"": ""device-new-18"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Firefox""}"
2025-06-05T09:48:00,carla.gray@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,Outlook Mobile,"{""DisplayName"": ""device-new-31"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Edge""}"
2025-06-05T09:52:00,beyonce.knowles@contoso.com,78.137.97.10,"Dublin, IE",,0,Sign-in succeeded,OneDrive,"{""DisplayName"": ""device-dub-34"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Chrome""}"
2025-06-05T09:55:00,noah.rhodes@contoso.com,78.137.97.10,"Dublin, IE",,0,Sign-in succeeded,Power BI,"{""DisplayName"": ""device-dub-18"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Edge""}"
2025-06-05T10:01:00,abigail.shaffer@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,SharePoint Online,"{""DisplayName"": ""device-new-5"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Android"", ""Browser"": ""Edge""}"
2025-06-05T10:03:00,patty.perez@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,Power BI,"{""DisplayName"": ""device-new-8"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Firefox""}"
2025-06-05T10:06:00,dylan.miller@contoso.com,86.23.123.45,"London, UK",,0,Sign-in succeeded,Azure Portal,"{""DisplayName"": ""device-lon-31"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Firefox""}"
2025-06-05T10:10:00,daniel.wagner@contoso.com,86.23.123.45,"London, UK",,0,Sign-in succeeded,Outlook Mobile,"{""DisplayName"": ""device-lon-14"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Edge""}"
2025-06-05T10:12:00,monica.herrera@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,Outlook Mobile,"{""DisplayName"": ""device-new-17"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Edge""}"
2025-06-05T10:12:00,beyonce.knowles@contoso.com,78.137.97.10,"Dublin, IE",,0,Sign-in succeeded,Azure Portal,"{""DisplayName"": ""device-dub-16"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Edge""}"
2025-06-05T10:13:00,gabrielle.davis@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,Microsoft Teams,"{""DisplayName"": ""device-new-7"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Chrome""}"
2025-06-05T10:15:00,lisa.hensley@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,Azure Portal,"{""DisplayName"": ""device-new-14"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Firefox""}"
2025-06-05T10:26:00,bilbo.baggins@contoso.com,78.137.97.10,"Dublin, IE",,0,Sign-in succeeded,Office 365 Exchange Online,"{""DisplayName"": ""device-dub-45"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Android"", ""Browser"": ""Chrome""}"
2025-06-05T10:26:00,connie.lawrence@contoso.com,86.23.123.45,"London, UK",,1,Incorrect password,Azure Portal,"{""DisplayName"": ""device-lon-40"", ""IsCompliant"": false, ""IsManaged"": false, ""OperatingSystem"": ""Linux"", ""Browser"": ""Unknown""}"
2025-06-05T10:35:00,noah.rhodes@contoso.com,78.137.97.10,"Dublin, IE",,0,Sign-in succeeded,Office 365 Exchange Online,"{""DisplayName"": ""device-dub-7"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Edge""}"
2025-06-05T10:35:00,brian.ramirez@contoso.com,78.137.97.10,"Dublin, IE",,1,Incorrect password,Outlook Mobile,"{""DisplayName"": ""device-dub-18"", ""IsCompliant"": false, ""IsManaged"": false, ""OperatingSystem"": ""Windows"", ""Browser"": ""Chrome""}"
2025-06-05T10:36:00,jamie.arnold@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,Outlook Mobile,"{""DisplayName"": ""device-new-5"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Chrome""}"
2025-06-05T10:38:00,zendaya.coleman@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,Power BI,"{""DisplayName"": ""device-new-38"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Firefox""}"
2025-06-05T10:43:00,roger.federer@contoso.com,78.137.97.10,"Dublin, IE",,0,Sign-in succeeded,Azure Portal,"{""DisplayName"": ""device-dub-6"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Chrome""}"
2025-06-05T10:43:00,tommy.walter@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,OneDrive,"{""DisplayName"": ""device-new-12"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Chrome""}"
2025-06-05T10:45:00,tommy.walter@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,Outlook Mobile,"{""DisplayName"": ""device-new-20"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Android"", ""Browser"": ""Chrome""}"
2025-06-05T10:45:00,dylan.miller@contoso.com,86.23.123.45,"London, UK",,0,Sign-in succeeded,Microsoft Teams,"{""DisplayName"": ""device-lon-22"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Firefox""}"
2025-06-05T10:46:00,angie.henderson@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,OneDrive,"{""DisplayName"": ""device-new-46"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Chrome""}"
2025-06-05T10:49:00,taylor.swift@contoso.com,78.137.97.10,"Dublin, IE",,0,Sign-in succeeded,SharePoint Online,"{""DisplayName"": ""device-dub-33"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Firefox""}"
2025-06-05T10:50:00,ethan.adams@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,Outlook Mobile,"{""DisplayName"": ""device-new-39"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Chrome""}"
2025-06-05T10:51:00,beyonce.knowles@contoso.com,78.137.97.10,"Dublin, IE",,0,Sign-in succeeded,OneDrive,"{""DisplayName"": ""device-dub-48"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Edge""}"
2025-06-05T10:52:00,roger.federer@contoso.com,78.137.97.10,"Dublin, IE",,0,Sign-in succeeded,Microsoft Teams,"{""DisplayName"": ""device-dub-11"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Edge""}"
2025-06-05T10:53:00,abigail.shaffer@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,Microsoft Teams,"{""DisplayName"": ""device-new-35"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Chrome""}"
2025-06-05T10:55:00,angie.henderson@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,OneDrive,"{""DisplayName"": ""device-new-49"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Chrome""}"
2025-06-05T11:02:00,margaret.dds@contoso.com,86.23.123.45,"London, UK",,0,Sign-in succeeded,SharePoint Online,"{""DisplayName"": ""device-lon-27"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Android"", ""Browser"": ""Firefox""}"
2025-06-05T11:02:00,cristian.santos@contoso.com,78.137.97.10,"Dublin, IE",,0,Sign-in succeeded,SharePoint Online,"{""DisplayName"": ""device-dub-37"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Edge""}"
2025-06-05T11:05:00,roger.federer@contoso.com,78.137.97.10,"Dublin, IE",,0,Sign-in succeeded,Azure Portal,"{""DisplayName"": ""device-dub-30"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Firefox""}"
2025-06-05T11:07:00,dylan.miller@contoso.com,86.23.123.45,"London, UK",,0,Sign-in succeeded,Power BI,"{""DisplayName"": ""device-lon-1"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Firefox""}"
2025-06-05T11:09:00,lisa.hensley@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,OneDrive,"{""DisplayName"": ""device-new-24"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Edge""}"
2025-06-05T11:11:00,jamie.arnold@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,Outlook Mobile,"{""DisplayName"": ""device-new-17"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Firefox""}"
2025-06-05T11:13:00,angie.henderson@contoso.com,66.249.64.1,"New York, USA",Success,0,Login successful,SharePoint Online,Windows 10 | angie-henderson-device
2025-06-05T11:14:00,allison.hill@contoso.com,78.137.97.10,"Dublin, IE",,0,Sign-in succeeded,Azure Portal,"{""DisplayName"": ""device-dub-26"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Android"", ""Browser"": ""Chrome""}"
2025-06-05T11:15:00,connie.lawrence@contoso.com,86.23.123.45,"London, UK",Success,0,Login successful,SharePoint Online,Windows 10 | connie-lawrence-device
2025-06-05T11:17:00,ethan.adams@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,Outlook Mobile,"{""DisplayName"": ""device-new-21"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Android"", ""Browser"": ""Edge""}"
2025-06-05T11:17:00,roger.federer@contoso.com,78.137.97.10,"Dublin, IE",,0,Sign-in succeeded,SharePoint Online,"{""DisplayName"": ""device-dub-22"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Edge""}"
2025-06-05T11:20:00,zendaya.coleman@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,Azure Portal,"{""DisplayName"": ""device-new-23"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Edge""}"
2025-06-05T11:23:00,allison.hill@contoso.com,78.137.97.10,"Dublin, IE",,0,Sign-in succeeded,Microsoft Teams,"{""DisplayName"": ""device-dub-17"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Android"", ""Browser"": ""Edge""}"
2025-06-05T11:23:00,ethan.adams@contoso.com,66.249.64.1,"New York, USA",,1,Incorrect password,Outlook Mobile,"{""DisplayName"": ""device-new-22"", ""IsCompliant"": false, ""IsManaged"": false, ""OperatingSystem"": ""Linux"", ""Browser"": ""Chrome""}"
2025-06-05T11:25:00,carla.gray@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,Outlook Mobile,"{""DisplayName"": ""device-new-20"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Firefox""}"
2025-06-05T11:26:00,monica.herrera@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,Outlook Mobile,"{""DisplayName"": ""device-new-44"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Chrome""}"
2025-06-05T11:28:00,tommy.walter@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,OneDrive,"{""DisplayName"": ""device-new-5"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Edge""}"
2025-06-05T11:29:00,lisa.jackson@contoso.com,45.142.120.5,"Amsterdam, NL",,1,Sign-in failed due to invalid credentials,SharePoint Online,"{""DisplayName"": ""unknown-DW9J0WO"", ""IsCompliant"": false, ""IsManaged"": false, ""OperatingSystem"": ""Unknown"", ""Browser"": ""Firefox""}"
2025-06-05T11:30:00,tommy.walter@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,Azure Portal,"{""DisplayName"": ""device-new-30"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Chrome""}"
2025-06-05T11:30:00,carla.gray@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,Outlook Mobile,"{""DisplayName"": ""device-new-31"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Chrome""}"
2025-06-05T11:32:00,michele.williams@contoso.com,86.23.123.45,"London, UK",,0,Sign-in succeeded,Outlook Mobile,"{""DisplayName"": ""device-lon-31"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Edge""}"
2025-06-05T11:32:00,lisa.hensley@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,Azure Portal,"{""DisplayName"": ""device-new-33"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Edge""}"
2025-06-05T11:33:00,gina.moore@contoso.com,86.23.123.45,"London, UK",,0,Sign-in succeeded,OneDrive,"{""DisplayName"": ""device-lon-6"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Edge""}"
2025-06-05T11:37:00,monica.herrera@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,Microsoft Teams,"{""DisplayName"": ""device-new-17"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Firefox""}"
2025-06-05T11:39:00,jason.bourne@contoso.com,78.137.97.10,"Dublin, IE",,0,Sign-in succeeded,Power BI,"{""DisplayName"": ""device-dub-37"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Chrome""}"
2025-06-05T11:42:00,bilbo.baggins@contoso.com,78.137.97.10,"Dublin, IE",,0,Sign-in succeeded,Azure Portal,"{""DisplayName"": ""device-dub-6"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Firefox""}"
2025-06-05T11:43:00,michele.williams@contoso.com,86.23.123.45,"London, UK",,0,Sign-in succeeded,Power BI,"{""DisplayName"": ""device-lon-6"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Chrome""}"
2025-06-05T11:46:00,tommy.walter@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,Power BI,"{""DisplayName"": ""device-new-31"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Android"", ""Browser"": ""Chrome""}"
2025-06-05T11:46:00,gabrielle.davis@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,Microsoft Teams,"{""DisplayName"": ""device-new-50"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Chrome""}"
2025-06-05T11:51:00,allison.hill@contoso.com,78.137.97.10,"Dublin, IE",,0,Sign-in succeeded,OneDrive,"{""DisplayName"": ""device-dub-30"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Edge""}"
2025-06-05T11:54:00,angie.henderson@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,Azure Portal,"{""DisplayName"": ""device-new-27"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Edge""}"
2025-06-05T11:54:00,patty.perez@contoso.com,66.249.64.1,"New York, USA",Success,0,Login successful,Exchange Online,Windows 10 | patty-perez-device
2025-06-05T11:56:00,derek.zuniga@contoso.com,86.23.123.45,"London, UK",,0,Sign-in succeeded,Azure Portal,"{""DisplayName"": ""device-lon-20"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Edge""}"
2025-06-05T11:57:00,holly.wood@contoso.com,78.137.97.10,"Dublin, IE",,0,Sign-in succeeded,Power BI,"{""DisplayName"": ""device-dub-21"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Edge""}"
2025-06-05T12:02:00,noah.rhodes@contoso.com,78.137.97.10,"Dublin, IE",,0,Sign-in succeeded,Microsoft Teams,"{""DisplayName"": ""device-dub-4"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Firefox""}"
2025-06-05T12:10:00,beyonce.knowles@contoso.com,78.137.97.10,"Dublin, IE",,0,Sign-in succeeded,Power BI,"{""DisplayName"": ""device-dub-45"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Firefox""}"
2025-06-05T12:11:00,ethan.adams@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,Office 365 Exchange Online,"{""DisplayName"": ""device-new-50"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Edge""}"
2025-06-05T12:11:00,tommy.walter@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,Azure Portal,"{""DisplayName"": ""device-new-3"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Firefox""}"
2025-06-05T12:13:00,beyonce.knowles@contoso.com,78.137.97.10,"Dublin, IE",,0,Sign-in succeeded,Microsoft Teams,"{""DisplayName"": ""device-dub-39"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Firefox""}"
2025-06-05T12:13:00,brian.ramirez@contoso.com,78.137.97.10,"Dublin, IE",,0,Sign-in succeeded,Azure Portal,"{""DisplayName"": ""device-dub-45"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Edge""}"
2025-06-05T12:13:00,ryan.munoz@contoso.com,86.23.123.45,"London, UK",,0,Sign-in succeeded,Azure Portal,"{""DisplayName"": ""device-lon-36"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Android"", ""Browser"": ""Edge""}"
2025-06-05T12:15:00,bilbo.baggins@contoso.com,78.137.97.10,"Dublin, IE",,0,Sign-in succeeded,SharePoint Online,"{""DisplayName"": ""device-dub-1"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Edge""}"
2025-06-05T12:16:00,dylan.miller@contoso.com,86.23.123.45,"London, UK",,1,Incorrect password,SharePoint Online,"{""DisplayName"": ""device-lon-8"", ""IsCompliant"": false, ""IsManaged"": false, ""OperatingSystem"": ""Linux"", ""Browser"": ""Unknown""}"
2025-06-05T12:16:00,dylan.miller@contoso.com,86.23.123.45,"London, UK",,0,Sign-in succeeded,SharePoint Online,"{""DisplayName"": ""device-lon-7"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Chrome""}"
2025-06-05T12:17:00,zendaya.coleman@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,SharePoint Online,"{""DisplayName"": ""device-new-34"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Edge""}"
2025-06-05T12:17:00,michele.williams@contoso.com,86.23.123.45,"London, UK",,0,Sign-in succeeded,OneDrive,"{""DisplayName"": ""device-lon-37"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Chrome""}"
2025-06-05T12:17:00,gina.moore@contoso.com,86.23.123.45,"London, UK",,0,Sign-in succeeded,Power BI,"{""DisplayName"": ""device-lon-20"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Edge""}"
2025-06-05T12:23:00,derek.zuniga@contoso.com,86.23.123.45,"London, UK",Success,0,Login successful,SharePoint Online,Windows 10 | derek-zuniga-device
2025-06-05T12:24:00,monica.herrera@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,OneDrive,"{""DisplayName"": ""device-new-9"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Edge""}"
2025-06-05T12:25:00,monica.herrera@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,Power BI,"{""DisplayName"": ""device-new-18"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Firefox""}"
2025-06-05T12:27:00,jamie.arnold@contoso.com,66.249.64.1,"New York, USA",Success,0,Login successful,Exchange Online,Windows 10 | jamie-arnold-device
2025-06-05T12:27:00,abigail.shaffer@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,Outlook Mobile,"{""DisplayName"": ""device-new-47"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Chrome""}"
2025-06-05T12:32:00,jamie.arnold@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,SharePoint Online,"{""DisplayName"": ""device-new-20"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Android"", ""Browser"": ""Firefox""}"
2025-06-05T12:33:00,angie.henderson@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,Office 365 Exchange Online,"{""DisplayName"": ""device-new-50"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Edge""}"
2025-06-05T12:34:00,jason.bourne@contoso.com,78.137.97.10,"Dublin, IE",Success,0,Login successful,SharePoint Online,Windows 10 | jason-bourne-device
2025-06-05T12:35:00,tommy.walter@contoso.com,66.249.64.1,"New York, USA",Success,0,Login successful,SharePoint Online,Windows 10 | tommy-walter-device
2025-06-05T12:36:00,abigail.shaffer@contoso.com,66.249.64.1,"New York, USA",,0,Sign-in succeeded,Office 365 Exchange Online,"{""DisplayName"": ""device-new-20"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Android"", ""Browser"": ""Edge""}"
2025-06-05T12:36:00,margaret.dds@contoso.com,86.23.123.45,"London, UK",,0,Sign-in succeeded,Office 365 Exchange Online,"{""DisplayName"": ""device-lon-40"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Android"", ""Browser"": ""Edge""}"
